Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-02.06380    10.01426   52.049111 -117.799115   -0.379    0.147  1
RGI60-02.01397     9.82887   50.539328 -123.690481   -0.421    0.121  1
RGI60-02.01461     9.77011   50.513950 -123.873923   -0.431    0.116  1
RGI60-02.05098     9.69109   51.658452 -116.560290   -0.834    0.158  1
RGI60-02.02696     9.69067   50.936042 -123.963602   -0.524    0.129  1
RGI60-02.02373     9.68845   50.734395 -124.350134    0.129    0.124  1
RGI60-02.05701     9.66702   51.739615 -117.848425   -0.528    0.140  1
RGI60-02.08783     9.66330   53.031769 -120.460763   -0.601    0.136  1
RGI60-02.08144     9.65716   52.778580 -120.051821   -0.262    0.131  1
RGI60-02.10175     9.65179   53.861499 -127.984460   -0.721    0.129  1
RGI60-02.02690     9.57444   50.951892 -123.915803   -0.584    0.132  1
RGI60-02.11526     9.56570   56.027357 -127.236510   -0.728    0.141  1
RGI60-02.04503     9.55467   51.449935 -124.903011   -1.112    0.158  1
RGI60-02.01752     9.47858   50.670264 -124.585315   -0.410    0.132  1
RGI60-02.06866     9.40810   52.179335 -117.679212   -0.217    0.132  1
RGI60-02.04432     9.37350   50.972000 -125.147094   -1.037    0.147  1
RGI60-02.06465     9.35277   51.849051 -125.915357   -0.492    0.124  1
RGI60-02.07563     9.26135   52.556237 -117.336877   -0.651    0.146  1
RGI60-02.01268     9.24083   50.491676 -123.977686   -0.695    0.133  1
RGI60-02.02385     9.20841   50.698948 -123.794060   -0.763    0.129  1
RGI60-02.04383     9.19442   51.387669 -125.443453   -0.414    0.122  1
RGI60-02.12722     9.19065   62.143609 -128.228187   -0.899    0.145  1
RGI60-02.14259     9.18951   46.885112 -121.738781   -0.188    0.104  1
RGI60-02.05218     9.18703   51.653699 -117.913536   -0.597    0.148  1
RGI60-02.04361     9.14335   51.417461 -125.145516   -0.390    0.117  1
RGI60-02.01466     9.09853   50.542803 -123.816477   -0.319    0.115  1
RGI60-02.06868     9.05640   52.221938 -117.771514   -0.690    0.156  1
RGI60-02.04305     9.04442   51.426305 -125.460862   -0.387    0.117  1
RGI60-02.03126     9.04407   51.068064 -124.198593   -0.509    0.132  1
RGI60-02.07919     9.00003   52.691503 -119.710765   -0.473    0.133  1
RGI60-02.08210     8.98434   52.824484 -119.818755   -0.279    0.128  1
RGI60-02.00259     8.93242   49.844578 -122.642442   -0.316    0.117  1
RGI60-02.05825     8.89448   51.866158 -118.178779   -0.137    0.136  1
RGI60-02.05180     8.84680   51.445562 -126.319708   -0.083    0.113  1
RGI60-02.00939     8.83484   50.337781 -123.000286   -0.593    0.128  1
RGI60-02.00517     8.80421   50.065304 -123.483844   -0.461    0.119  1
RGI60-02.07621     8.80171   52.589699 -126.859513    0.177    0.149  1
RGI60-02.08293     8.77779   52.817614 -119.602823   -0.433    0.129  1
RGI60-02.05335     8.72743   51.717932 -116.964070   -0.785    0.171  1
RGI60-02.12721     8.69751   62.197109 -128.097848   -0.950    0.147  1
RGI60-02.02306     8.68225   50.871715 -125.067539   -0.183    0.111  1
RGI60-02.04598     8.67632   51.503294 -126.498891   -0.950    0.143  1
RGI60-02.00475     8.65479   50.031001 -123.467020   -0.615    0.130  1
